,name,year,selling_price,km_driven,fuel,transmission,owner
48,Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,Petrol,Manual,LabelEncoder()
49,Maruti Wagon R VXI BS IV,2012,275000,60000,Petrol,Manual,LabelEncoder()
50,Mahindra Scorpio LX,2009,411000,120000,Diesel,Manual,LabelEncoder()
51,Hyundai Santro Xing GLS,2009,150000,79000,Petrol,Manual,LabelEncoder()
52,Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,Petrol,Manual,LabelEncoder()
53,Maruti Alto LXi,2006,100000,80000,Petrol,Manual,LabelEncoder()
54,Maruti Swift Dzire VDI Optional,2017,725000,18500,Diesel,Manual,LabelEncoder()
55,Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,Petrol,Manual,LabelEncoder()
56,Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,Diesel,Manual,LabelEncoder()
57,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,Petrol,Manual,LabelEncoder()
58,Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Manual,LabelEncoder()
59,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Manual,LabelEncoder()
60,Maruti Alto LXi,2012,160000,60000,Petrol,Manual,LabelEncoder()
61,Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Manual,LabelEncoder()
62,Honda City i DTEC VX,2014,675000,90000,Diesel,Manual,LabelEncoder()
63,Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Manual,LabelEncoder()
64,Tata Indica DLS,2005,70000,80000,Diesel,Manual,LabelEncoder()
65,Hyundai EON Magna Plus,2014,240000,73300,Petrol,Manual,LabelEncoder()
66,Toyota Etios GD,2014,525000,92000,Diesel,Manual,LabelEncoder()
67,Maruti Alto LXi,2009,151000,66764,Petrol,Manual,LabelEncoder()
68,Maruti Alto LXi,2009,140000,100000,Petrol,Manual,LabelEncoder()
69,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,Diesel,Manual,LabelEncoder()
70,Toyota Corolla Altis Diesel D4DG,2011,350000,230000,Diesel,Manual,LabelEncoder()
71,Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,Diesel,Manual,LabelEncoder()
72,Hyundai EON Magna Plus,2018,300000,31000,Petrol,Manual,LabelEncoder()
73,Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Manual,LabelEncoder()
74,Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,Diesel,Manual,LabelEncoder()
75,Tata Indica Vista Quadrajet LS,2014,125000,166000,Diesel,Manual,LabelEncoder()
76,Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Manual,LabelEncoder()
77,Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Manual,LabelEncoder()
78,Maruti Ciaz 1.3 Delta,2018,750000,60000,Diesel,Manual,LabelEncoder()
79,Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Automatic,LabelEncoder()
80,Hyundai i10 Sportz 1.2,2010,248000,63000,Petrol,Manual,LabelEncoder()
81,Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Manual,LabelEncoder()
82,Hyundai Getz GLS,2005,80000,120000,Petrol,Manual,LabelEncoder()
83,Nissan Terrano XL,2014,650000,76000,Petrol,Manual,LabelEncoder()
84,Hyundai Grand i10 CRDi Sportz,2015,450000,80000,Diesel,Manual,LabelEncoder()
85,Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Manual,LabelEncoder()
86,Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Manual,LabelEncoder()
87,Honda Brio S MT,2015,371000,20000,Petrol,Manual,LabelEncoder()
88,Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Manual,LabelEncoder()
89,Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,Diesel,Automatic,LabelEncoder()
90,Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Manual,LabelEncoder()
91,Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Manual,LabelEncoder()
92,Hyundai Santro Xing XO,2007,80000,58000,Petrol,Manual,LabelEncoder()
93,Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Manual,LabelEncoder()
94,Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Automatic,LabelEncoder()
95,Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Manual,LabelEncoder()
96,Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Automatic,LabelEncoder()
97,Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Manual,LabelEncoder()
98,Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Manual,LabelEncoder()
99,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Automatic,LabelEncoder()
100,Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Automatic,LabelEncoder()
101,Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800,Petrol,Automatic,LabelEncoder()
102,BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Automatic,LabelEncoder()
103,Volvo V40 D3 R Design,2018,1975000,21000,Diesel,Automatic,LabelEncoder()
104,Maruti SX4 Zxi BSIII,2008,175000,29173,Petrol,Manual,LabelEncoder()
105,BMW 7 Series 730Ld,2012,2500000,48000,Diesel,Automatic,LabelEncoder()
106,Mahindra Bolero Power Plus SLX,2017,628000,120000,Diesel,Manual,LabelEncoder()
107,Hyundai Sonata CRDi M/T,2010,600000,100000,Diesel,Manual,LabelEncoder()
108,Nissan Micra Active XV Petrol,2017,399000,30000,Petrol,Manual,LabelEncoder()
109,Mahindra Xylo D4,2018,750000,87000,Diesel,Manual,LabelEncoder()
110,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,Petrol,Manual,LabelEncoder()
111,Renault KWID RXT,2017,315000,16000,Petrol,Manual,LabelEncoder()
112,Mahindra Xylo E4 BS III,2012,600000,60000,Diesel,Manual,LabelEncoder()
113,Maruti Wagon R LXI Minor,2010,100000,60000,Petrol,Manual,LabelEncoder()
114,Maruti SX4 ZXI MT BSIV,2011,250000,110000,Petrol,Manual,LabelEncoder()
115,Renault KWID RXT,2017,350000,25000,Petrol,Manual,LabelEncoder()
116,Hyundai Creta 1.4 CRDi S,2016,780000,60000,Diesel,Manual,LabelEncoder()
117,Maruti Swift Dzire VDI,2014,434000,79350,Diesel,Manual,LabelEncoder()
118,Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,Petrol,Automatic,LabelEncoder()
119,Mahindra Scorpio LX BSIV,2014,555000,90000,Diesel,Manual,LabelEncoder()
120,Maruti SX4 Vxi BSIII,2007,120000,90000,Petrol,Manual,LabelEncoder()
121,Maruti Ertiga VDI,2014,500000,120000,Diesel,Manual,LabelEncoder()
122,Chevrolet Beat Diesel,2013,165000,60000,Diesel,Manual,LabelEncoder()
123,Maruti Zen LX,2004,95000,50000,Petrol,Manual,LabelEncoder()
124,Maruti Baleno Delta 1.2,2018,550000,20000,Petrol,Manual,LabelEncoder()
125,Maruti Swift Vdi BSIII,2007,100000,110000,Diesel,Manual,LabelEncoder()
126,Tata Nano Lx BSIV,2012,100000,50000,Petrol,Manual,LabelEncoder()
127,Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000,Diesel,Manual,LabelEncoder()
128,Maruti Ertiga SHVS VDI,2016,800000,70000,Diesel,Manual,LabelEncoder()
129,Hyundai Creta 1.6 CRDi SX,2016,840000,70000,Diesel,Manual,LabelEncoder()
130,Honda Amaze S i-Vtech,2016,490000,50000,Petrol,Manual,LabelEncoder()
131,Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000,Diesel,Manual,LabelEncoder()
132,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,120000,Diesel,Manual,LabelEncoder()
133,Chevrolet Cruze LTZ,2015,1000000,3600,Diesel,Manual,LabelEncoder()
134,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272,Petrol,Manual,LabelEncoder()
135,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213,Diesel,Manual,LabelEncoder()
136,Hyundai i10 Sportz 1.1L,2015,229999,40000,Petrol,Manual,LabelEncoder()
137,Maruti 800 Std,1998,40000,40000,Petrol,Manual,LabelEncoder()
138,Chevrolet Spark 1.0 LS,2012,130000,80000,Petrol,Manual,LabelEncoder()
139,Hyundai EON Era Plus,2015,200000,70000,Petrol,Manual,LabelEncoder()
140,Tata Indica Vista Aqua TDI BSIII,2011,120000,70000,Diesel,Manual,LabelEncoder()
141,Hyundai Santro LP zipPlus,2003,75000,57000,Petrol,Manual,LabelEncoder()
142,Tata Bolt Quadrajet XE,2016,250000,120000,Diesel,Manual,LabelEncoder()
143,Maruti 800 AC BSIII,2005,100000,30000,Petrol,Manual,LabelEncoder()
144,Hyundai EON Era Plus,2013,280000,3240,Petrol,Manual,LabelEncoder()
145,Hyundai i20 Magna 1.2,2015,540000,5000,Petrol,Manual,LabelEncoder()
146,Hyundai i20 1.2 Asta,2018,700000,10000,Petrol,Manual,LabelEncoder()
147,Maruti Ciaz VDi Plus,2015,525000,100000,Diesel,Manual,LabelEncoder()
148,Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,Diesel,Manual,LabelEncoder()
149,Hyundai Santro LE,2002,65000,70000,Petrol,Manual,LabelEncoder()
150,Maruti Vitara Brezza VDi,2018,800000,35000,Diesel,Manual,LabelEncoder()
151,Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000,Petrol,Manual,LabelEncoder()
152,Hyundai Getz 1.3 GLS,2008,210000,53772,Petrol,Manual,LabelEncoder()
153,Mahindra Quanto C8,2012,195000,140000,Diesel,Manual,LabelEncoder()
154,Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,120000,Diesel,Manual,LabelEncoder()
155,Hyundai EON Magna Plus,2012,170000,60000,Petrol,Manual,LabelEncoder()
156,Renault KWID RXT,2016,225000,25000,Petrol,Manual,LabelEncoder()
157,Maruti Wagon R DUO LPG,2014,210000,90000,LPG,Manual,LabelEncoder()
158,Maruti Wagon R LXI,2020,240000,120000,Petrol,Manual,LabelEncoder()
159,Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000,175000,Diesel,Manual,LabelEncoder()
160,Chevrolet Spark 1.0 LS,2011,99000,100000,Petrol,Manual,LabelEncoder()
161,Honda City i VTEC SV,2014,620000,36000,Petrol,Manual,LabelEncoder()
162,Honda Amaze VX i-DTEC,2013,500000,30000,Diesel,Manual,LabelEncoder()
163,Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,40000,Petrol,Automatic,LabelEncoder()
164,Honda Brio E MT,2013,260000,70000,Petrol,Manual,LabelEncoder()
165,Maruti Swift VVT ZXI,2017,550000,60000,Petrol,Manual,LabelEncoder()
166,Tata Indigo CR4,2011,150000,155500,Diesel,Manual,LabelEncoder()
167,Hyundai i10 Asta AT,2011,350000,50000,Petrol,Automatic,LabelEncoder()
168,Chevrolet Beat LT,2016,320000,40000,Petrol,Manual,LabelEncoder()
169,Maruti Swift VDI BSIV,2015,400000,100000,Diesel,Manual,LabelEncoder()
170,Maruti Alto LXi,2012,175000,80000,Petrol,Manual,LabelEncoder()
171,Chevrolet Beat LT,2011,120000,90000,Petrol,Manual,LabelEncoder()
172,Renault Duster 110PS Diesel RxZ,2013,320000,90000,Diesel,Manual,LabelEncoder()
173,Hyundai Santro Xing XG,2006,70000,110000,Petrol,Manual,LabelEncoder()
174,Maruti Swift Dzire ZXI Plus,2019,810000,15000,Petrol,Manual,LabelEncoder()
175,Maruti 800 AC,2007,95000,100000,Petrol,Manual,LabelEncoder()
176,Maruti Alto K10 LXI CNG,2020,282000,40000,CNG,Manual,LabelEncoder()
177,Maruti 800 Std BSII,2004,80000,60000,Petrol,Manual,LabelEncoder()
178,Tata Nano LX SE,2013,72000,25000,Petrol,Manual,LabelEncoder()
179,Hyundai i20 Magna 1.2,2016,600000,25000,Petrol,Manual,LabelEncoder()
180,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000,Petrol,Manual,LabelEncoder()
181,Maruti Alto K10 VXI,2018,380000,22155,Petrol,Manual,LabelEncoder()
182,Maruti Ciaz 1.4 Delta,2018,650000,70000,Petrol,Manual,LabelEncoder()
183,Maruti Alto LX,2009,150000,60000,Petrol,Manual,LabelEncoder()
184,Hyundai i20 Asta,2009,280000,110000,Petrol,Manual,LabelEncoder()
185,Tata Nexon 1.2 Revotron XM,2018,430000,30000,Petrol,Manual,LabelEncoder()
186,Mahindra Bolero Power Plus SLX,2019,800000,15000,Diesel,Manual,LabelEncoder()
187,Maruti Zen D,2003,75000,100000,Diesel,Manual,LabelEncoder()
188,Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000,70000,Diesel,Automatic,LabelEncoder()
189,Maruti Eeco 7 Seater Standard BSIV,2017,390000,24000,Petrol,Manual,LabelEncoder()
190,Honda City 1.5 EXI,2005,100000,120000,Petrol,Manual,LabelEncoder()
191,Mercedes-Benz New C-Class 220 CDI AT,2013,1500000,35000,Diesel,Automatic,LabelEncoder()
192,Maruti SX4 Zxi with Leather BSIII,2007,175000,78380,Petrol,Manual,LabelEncoder()
193,Renault Duster 110PS Diesel RxZ,2012,434999,110000,Diesel,Manual,LabelEncoder()
194,Ford Figo Diesel Titanium,2010,170000,90000,Diesel,Manual,LabelEncoder()
195,Ford Figo Diesel Titanium,2011,190000,90000,Diesel,Manual,LabelEncoder()
196,Maruti Swift Dzire VDi,2009,250000,150000,Diesel,Manual,LabelEncoder()
197,Mahindra Xylo E4,2009,229999,230000,Diesel,Manual,LabelEncoder()
198,Maruti Esteem Vxi - BSIII,2006,140000,70000,Petrol,Manual,LabelEncoder()
199,Maruti Swift VDI BSIV,2017,600000,80362,Diesel,Manual,LabelEncoder()
200,Hyundai i20 1.2 Sportz,2012,280000,110000,Petrol,Manual,LabelEncoder()
201,Chevrolet Beat Diesel LT,2012,150000,60000,Diesel,Manual,LabelEncoder()
202,Chevrolet Cruze LTZ AT,2015,650000,50000,Diesel,Automatic,LabelEncoder()
203,Nissan Micra XL,2014,210000,40000,Petrol,Manual,LabelEncoder()
204,BMW 5 Series 520d Luxury Line,2017,2900000,40000,Diesel,Automatic,LabelEncoder()
205,Chevrolet Enjoy 1.3 TCDi LS 8,2013,425000,20000,Diesel,Manual,LabelEncoder()
206,Hyundai EON Era Plus Option,2014,265000,55000,Petrol,Manual,LabelEncoder()
207,Fiat Linea T Jet Emotion,2018,890000,1136,Petrol,Manual,LabelEncoder()
208,Renault Scala RxL,2013,365000,55000,Petrol,Manual,LabelEncoder()
209,Ford Figo Petrol Titanium,2014,350000,43000,Petrol,Manual,LabelEncoder()
210,Maruti Ciaz ZDi SHVS,2016,685000,60000,Diesel,Manual,LabelEncoder()
211,Skoda Rapid 1.5 TDI Ambition BSIV,2018,940000,2650,Diesel,Manual,LabelEncoder()
212,Mahindra XUV500 W6 2WD,2017,1000000,40000,Diesel,Manual,LabelEncoder()
213,Mahindra XUV300 W8 Option,2019,1150000,15000,Petrol,Manual,LabelEncoder()
214,Maruti Ertiga SHVS ZDI,2016,450000,115962,Diesel,Manual,LabelEncoder()
215,Nissan Terrano XE D,2015,590000,65000,Diesel,Manual,LabelEncoder()
216,Maruti S-Cross Facelift,2017,800000,40000,Diesel,Manual,LabelEncoder()
217,Hyundai i20 Magna 1.4 CRDi (Diesel),2012,385000,58000,Diesel,Manual,LabelEncoder()
218,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,2000000,15000,Diesel,Automatic,LabelEncoder()
219,Hyundai EON Era Plus,2012,235000,54000,Petrol,Manual,LabelEncoder()
220,Volkswagen Ameo 1.5 TDI Highline,2017,640000,56000,Diesel,Manual,LabelEncoder()
221,Maruti Alto LX,2006,52000,120000,Petrol,Manual,LabelEncoder()
222,Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,80000,90000,LPG,Manual,LabelEncoder()
223,Maruti Alto LX,2012,140000,70000,Petrol,Manual,LabelEncoder()
224,Hyundai Verna i (Petrol),2008,120000,90000,Petrol,Manual,LabelEncoder()
225,Mahindra Renault Logan 1.5 DLS,2008,89999,213000,Diesel,Manual,LabelEncoder()
226,Chevrolet Optra Magnum 2.0 LS BSIII,2012,180000,120000,Diesel,Manual,LabelEncoder()
227,Mahindra Scorpio S11 BSIV,2017,1500000,20000,Diesel,Manual,LabelEncoder()
228,Hyundai i20 Active 1.2 SX,2017,700000,10000,Petrol,Manual,LabelEncoder()
229,Maruti SX4 Celebration Diesel,2012,285000,80000,Diesel,Manual,LabelEncoder()
230,Hyundai Grand i10 Magna,2015,390000,90000,Petrol,Manual,LabelEncoder()
231,Maruti Alto LXi BSIII,2008,125000,80000,Petrol,Manual,LabelEncoder()
232,Maruti SX4 Zxi with Leather BSIII,2008,225000,60000,Petrol,Manual,LabelEncoder()
233,Hyundai i10 Era,2011,175000,139000,Petrol,Manual,LabelEncoder()
234,Toyota Innova 2.5 V Diesel 7-seater,2011,1075000,160000,Diesel,Manual,LabelEncoder()
235,Honda Mobilio V i DTEC,2014,300000,150000,Diesel,Manual,LabelEncoder()
236,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,700000,163000,Diesel,Manual,LabelEncoder()
237,Tata Indica V2 2001-2011 DLS BSIII,2009,90000,120000,Diesel,Manual,LabelEncoder()
238,Tata Indica Vista TDI LS,2011,120000,120000,Diesel,Manual,LabelEncoder()
239,Chevrolet Beat Diesel LS,2012,220000,100000,Diesel,Manual,LabelEncoder()
240,Tata Zest Quadrajet 1.3 75PS XE,2015,300000,140000,Diesel,Manual,LabelEncoder()
241,Skoda Fabia 1.2L Diesel Ambiente,2010,180000,87000,Diesel,Manual,LabelEncoder()
242,Maruti 800 Std,2013,170000,70000,Petrol,Manual,LabelEncoder()
243,Ford Figo Petrol Titanium,2015,300000,50000,Petrol,Manual,LabelEncoder()
244,Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,1050000,70000,Diesel,Manual,LabelEncoder()
246,Hyundai Grand i10 1.2 CRDi Asta,2018,465000,25000,Diesel,Manual,LabelEncoder()
247,Chevrolet Beat Diesel LT,2011,130000,80000,Diesel,Manual,LabelEncoder()
248,Datsun GO Plus T Option Petrol,2018,434999,10000,Petrol,Manual,LabelEncoder()
249,Hyundai Grand i10 1.2 Kappa Asta,2018,500000,32000,Petrol,Manual,LabelEncoder()
250,Maruti Omni MPI STD BSIV,2018,200000,10000,Petrol,Manual,LabelEncoder()
251,Maruti Baleno Alpha 1.2,2017,625000,52000,Petrol,Manual,LabelEncoder()
252,Ford Fiesta Classic 1.4 SXI Duratorq,2006,110000,120000,Diesel,Manual,LabelEncoder()
253,Hyundai Elite i20 Asta Option BSIV,2019,800000,11240,Petrol,Manual,LabelEncoder()
254,Hyundai Grand i10 CRDi Magna,2017,490000,66000,Diesel,Manual,LabelEncoder()
255,Maruti Ertiga SHVS ZDI,2017,880000,64000,Diesel,Manual,LabelEncoder()
256,Hyundai Santro Xing GL Plus,2013,290000,49000,Petrol,Manual,LabelEncoder()
257,Tata Sumo GX TC 7 Str BSIII,2006,115999,100000,Diesel,Manual,LabelEncoder()
258,Renault KWID RXT,2018,360000,26500,Petrol,Manual,LabelEncoder()
259,Maruti 800 AC,2002,65000,100000,Petrol,Manual,LabelEncoder()
260,Maruti Vitara Brezza LDi Option,2017,685000,72000,Diesel,Manual,LabelEncoder()
261,Honda Jazz S,2009,300000,50000,Petrol,Manual,LabelEncoder()
262,Hyundai i20 1.4 Sportz,2017,680000,44000,Diesel,Manual,LabelEncoder()
263,Maruti Ertiga SHVS ZDI Plus,2017,1000000,60000,Diesel,Manual,LabelEncoder()
264,Tata Sumo SE Plus BSIII,2002,100000,120000,Diesel,Manual,LabelEncoder()
265,Mahindra Xylo E4,2010,160000,130000,Diesel,Manual,LabelEncoder()
266,Maruti Swift ZDi BSIV,2017,450000,70000,Diesel,Manual,LabelEncoder()
267,Maruti Ertiga VXI,2014,600000,20000,Petrol,Manual,LabelEncoder()
268,Hyundai i20 1.4 Magna ABS,2009,180000,60000,Diesel,Manual,LabelEncoder()
269,Maruti Alto LXi,2007,100000,195000,Petrol,Manual,LabelEncoder()
270,Maruti Alto LXi,2010,120000,90000,Petrol,Manual,LabelEncoder()
271,Hyundai Getz GL,2006,130000,80000,Petrol,Manual,LabelEncoder()
272,Maruti Wagon R LX BS IV,2011,160000,155000,Petrol,Manual,LabelEncoder()
273,Mahindra Bolero Power Plus SLX,2019,860000,35000,Diesel,Manual,LabelEncoder()
274,Hyundai i20 1.2 Spotz,2018,650000,20000,Petrol,Manual,LabelEncoder()
275,Maruti Wagon R LXI Minor,2010,100000,80000,Petrol,Manual,LabelEncoder()
276,Maruti Alto 800 VXI,2017,282000,20000,Petrol,Manual,LabelEncoder()
277,Hyundai i20 Asta (o),2009,300000,50000,Petrol,Manual,LabelEncoder()
278,Hyundai i20 Asta,2010,270000,110000,Petrol,Manual,LabelEncoder()
279,Hyundai Verna 1.6 SX CRDi (O),2013,550000,29000,Diesel,Manual,LabelEncoder()
280,Mahindra Xylo D2 BSIV,2013,450000,120000,Diesel,Manual,LabelEncoder()
281,Mahindra Bolero SLX 2WD BSIII,2011,430000,70000,Diesel,Manual,LabelEncoder()
282,Maruti Ertiga VXI ABS,2013,350000,40000,Petrol,Manual,LabelEncoder()
283,Honda Brio 1.2 E MT,2017,350000,20000,Petrol,Manual,LabelEncoder()
284,Toyota Etios Liva G,2013,229999,50000,Petrol,Manual,LabelEncoder()
285,Maruti Alto 800 LXI,2013,110000,50000,Petrol,Manual,LabelEncoder()
286,Maruti Swift Dzire 1.2 Vxi BSIV,2012,395000,49000,Petrol,Manual,LabelEncoder()
287,Mahindra Scorpio VLS AT 2.2 mHAWK,2011,650000,70000,Diesel,Automatic,LabelEncoder()
288,Mahindra Bolero SLX,2011,350000,90000,Diesel,Manual,LabelEncoder()
289,Mahindra XUV500 W11 Option AWD,2020,1400000,25000,Diesel,Manual,LabelEncoder()
290,Tata Tiago 1.2 Revotron XZ,2018,360000,4000,Petrol,Manual,LabelEncoder()
291,Mahindra Marazzo M8 8Str,2018,1300000,10000,Diesel,Manual,LabelEncoder()
292,Renault Duster 110PS Diesel RxL,2015,800000,15000,Diesel,Manual,LabelEncoder()
293,Hyundai EON Magna Plus,2018,229999,30000,Petrol,Manual,LabelEncoder()
294,Maruti Wagon R VXI,2014,315000,41000,Petrol,Manual,LabelEncoder()
295,Chevrolet Spark 1.0 LT,2012,125000,28000,Petrol,Manual,LabelEncoder()
296,Maruti Baleno Alpha,2019,700000,16000,Petrol,Manual,LabelEncoder()
297,Hyundai EON 1.0 Kappa Magna Plus,2015,160000,70000,Petrol,Manual,LabelEncoder()
298,Ford Figo Aspire 1.2 Ti-VCT Trend,2017,530000,10832,Petrol,Manual,LabelEncoder()
299,Ford Figo Aspire Facelift,2018,624000,14681,Diesel,Manual,LabelEncoder()
300,Hyundai i10 Era,2009,250000,50000,Petrol,Manual,LabelEncoder()
301,Mahindra Bolero SLX,2016,585000,51000,Diesel,Manual,LabelEncoder()
302,Hyundai Verna 1.4 VTVT,2015,500000,25000,Petrol,Manual,LabelEncoder()
303,Chevrolet Sail 1.2 LT ABS,2014,350000,30000,Petrol,Manual,LabelEncoder()
304,Honda City i-DTEC SV,2014,495000,80000,Diesel,Manual,LabelEncoder()
305,Hyundai Grand i10 1.2 Kappa Asta,2017,500000,50000,Petrol,Manual,LabelEncoder()
306,Mahindra Bolero Power Plus Plus AC BSIV PS,2015,430000,200000,Diesel,Manual,LabelEncoder()
307,Hyundai Grand i10 1.2 Kappa Sportz Option,2013,345000,44000,Petrol,Manual,LabelEncoder()
308,Maruti Baleno Sigma 1.2,2015,500000,10000,Petrol,Manual,LabelEncoder()
309,Tata Tiago 1.2 Revotron XZ,2019,425000,19600,Petrol,Manual,LabelEncoder()
310,Maruti Wagon R LXI,2005,80000,40000,Petrol,Manual,LabelEncoder()
311,Chevrolet Beat Diesel LS,2011,106000,50000,Diesel,Manual,LabelEncoder()
312,Maruti A-Star Vxi,2009,180000,46730,Petrol,Manual,LabelEncoder()
